,Time,Color,Move,Black,White
0, 0.006, X ,"(E, 3)",4,1
1, 0.005, O ,"(D, 3)",3,3
2, 0.010, X ,"(C, 2)",5,2
3, 0.008, O ,"(D, 2)",4,4
4, 0.009, X ,"(C, 3)",7,2
5, 0.009, O ,"(F, 3)",6,4
6, 0.013, X ,"(G, 3)",8,3
7, 0.011, O ,"(E, 2)",7,5
8, 0.013, X ,"(E, 1)",12,1
9, 0.005, O ,"(F, 5)",11,3
10, 0.008, X ,"(C, 6)",13,2
11, 0.005, O ,"(C, 5)",12,4
12, 0.010, X ,"(D, 6)",14,3
13, 0.009, O ,"(E, 7)",13,5
14, 0.011, X ,"(E, 6)",16,3
15, 0.007, O ,"(C, 7)",15,5
16, 0.014, X ,"(B, 6)",18,3
17, 0.011, O ,"(A, 5)",17,5
18, 0.012, X ,"(G, 4)",19,4
19, 0.007, O ,"(B, 4)",17,7
20, 0.011, X ,"(D, 7)",19,6
21, 0.006, O ,"(F, 2)",17,9
22, 0.019, X ,"(A, 3)",20,7
23, 0.010, O ,"(C, 1)",19,9
24, 0.017, X ,"(D, 1)",21,8
25, 0.011, O ,"(H, 4)",20,10
26, 0.018, X ,"(F, 1)",22,9
27, 0.012, O ,"(G, 5)",21,11
28, 0.016, X ,"(H, 3)",24,9
29, 0.012, O ,"(B, 3)",22,12
30, 0.022, X ,"(C, 4)",26,9
31, 0.010, O ,"(F, 4)",23,13
32, 0.019, X ,"(H, 5)",27,10
33, 0.016, O ,"(H, 6)",26,12
34, 0.016, X ,"(A, 4)",28,11
35, 0.011, O ,"(D, 8)",27,13
36, 0.012, X ,"(F, 6)",30,11
37, 0.007, O ,"(B, 5)",29,13
38, 0.009, X ,"(A, 6)",35,8
39, 0.004, O ,"(F, 7)",33,11
40, 0.007, X ,"(G, 6)",36,9
41, 0.004, O ,"(G, 1)",32,14
42, 0.006, X ,"(C, 8)",35,12
43, 0.007, O ,"(H, 2)",31,17
44, 0.005, X ,"(E, 8)",35,14
45, 0.006, O ,"(F, 8)",32,18
46, 0.004, X ,"(G, 2)",35,16
47, 0.005, O ,"(B, 8)",29,23
48, 0.003, X ,"(G, 7)",33,20
49, 0.003, O ,"(B, 1)",30,24
50, 0.001, X ,"(B, 2)",32,23
51, 0.002, O ,"(H, 1)",30,26
52, 0.001, X ,"(B, 7)",32,25
53, 0.002, O ,"(A, 8)",29,29
54, 0.001, X ,"(A, 7)",31,28
55, 0.001, O ,"(H, 7)",30,30
56, 0.000, O ,"(A, 2)",18,43
57, 0.001, X ,"(A, 1)",20,42
58, 0.000, O ,"(G, 8)",17,46
59, 0.001, X ,"(H, 8)",19,45
