,Time,Color,Move,Black,White
0, 0.006, X ,"(E, 3)",4,1
1, 0.005, O ,"(D, 3)",3,3
2, 0.008, X ,"(C, 2)",5,2
3, 0.010, O ,"(D, 2)",4,4
4, 0.011, X ,"(C, 1)",6,3
5, 0.010, O ,"(D, 1)",5,5
6, 0.009, X ,"(E, 1)",7,4
7, 0.010, O ,"(F, 2)",6,6
8, 0.016, X ,"(G, 3)",8,5
9, 0.014, O ,"(F, 3)",7,7
10, 0.009, X ,"(F, 5)",10,5
11, 0.012, O ,"(F, 4)",9,7
12, 0.007, X ,"(C, 3)",12,5
13, 0.015, O ,"(C, 5)",11,7
14, 0.007, X ,"(E, 2)",14,5
15, 0.011, O ,"(F, 1)",13,7
16, 0.013, X ,"(C, 4)",15,6
17, 0.016, O ,"(H, 3)",14,8
18, 0.015, X ,"(G, 5)",16,7
19, 0.011, O ,"(D, 6)",14,10
20, 0.015, X ,"(G, 4)",17,8
21, 0.015, O ,"(H, 5)",15,11
22, 0.016, X ,"(H, 4)",18,9
23, 0.011, O ,"(B, 5)",15,13
24, 0.014, X ,"(B, 4)",17,12
25, 0.010, O ,"(A, 3)",16,14
26, 0.016, X ,"(A, 5)",18,13
27, 0.008, O ,"(B, 3)",15,17
28, 0.015, X ,"(H, 6)",18,15
29, 0.008, O ,"(G, 2)",15,19
30, 0.013, X ,"(F, 6)",18,17
31, 0.009, O ,"(E, 6)",15,21
32, 0.012, X ,"(B, 6)",17,20
33, 0.011, O ,"(C, 6)",16,22
34, 0.011, X ,"(D, 7)",19,20
35, 0.016, O ,"(D, 8)",15,25
36, 0.009, X ,"(G, 6)",19,22
37, 0.010, O ,"(H, 2)",17,25
38, 0.009, X ,"(H, 1)",22,21
39, 0.008, O ,"(G, 1)",21,23
40, 0.008, X ,"(A, 6)",24,21
41, 0.006, O ,"(A, 4)",23,23
42, 0.011, X ,"(E, 7)",26,21
43, 0.012, O ,"(F, 8)",25,23
44, 0.006, X ,"(E, 8)",27,22
45, 0.008, O ,"(F, 7)",23,27
46, 0.006, X ,"(C, 7)",27,24
47, 0.006, O ,"(C, 8)",23,29
48, 0.006, X ,"(A, 2)",26,27
49, 0.005, O ,"(A, 7)",25,29
50, 0.006, X ,"(A, 8)",27,28
51, 0.003, O ,"(G, 7)",25,31
52, 0.003, X ,"(H, 8)",28,29
53, 0.003, O ,"(G, 8)",27,31
54, 0.003, X ,"(H, 7)",30,29
55, 0.004, O ,"(B, 2)",28,32
56, 0.002, X ,"(A, 1)",32,29
57, 0.001, O ,"(B, 1)",28,34
58, 0.001, X ,"(B, 8)",32,31
59, 0.000, O ,"(B, 7)",31,33
