,Time,Color,Move,Black,White
0, 0.103, X ,"(E, 3)",4,1
1, 0.166, O ,"(F, 5)",3,3
2, 0.261, X ,"(C, 6)",5,2
3, 0.251, O ,"(D, 3)",4,4
4, 0.421, X ,"(D, 2)",6,3
5, 0.350, O ,"(C, 2)",5,5
6, 0.638, X ,"(C, 3)",7,4
7, 1.018, O ,"(C, 4)",5,7
8, 0.942, X ,"(F, 3)",7,6
9, 1.187, O ,"(E, 2)",3,11
10, 0.512, X ,"(D, 1)",8,7
11, 0.892, O ,"(C, 1)",7,9
12, 1.226, X ,"(F, 2)",9,8
13, 1.513, O ,"(F, 4)",8,10
14, 1.564, X ,"(B, 3)",12,7
15, 1.262, O ,"(E, 1)",10,10
16, 1.160, X ,"(F, 1)",12,9
17, 2.173, O ,"(G, 3)",10,12
18, 2.801, X ,"(H, 3)",14,9
19, 2.520, O ,"(G, 4)",12,12
20, 3.588, X ,"(H, 4)",16,9
21, 3.438, O ,"(B, 4)",15,11
22, 1.667, X ,"(A, 4)",17,10
23, 2.634, O ,"(G, 5)",15,13
24, 1.318, X ,"(D, 6)",18,11
25, 2.861, O ,"(H, 5)",17,13
26, 1.269, X ,"(E, 6)",20,11
27, 2.418, O ,"(A, 3)",19,13
28, 1.523, X ,"(F, 6)",21,12
29, 1.905, O ,"(H, 6)",19,15
30, 1.242, X ,"(G, 6)",21,14
31, 1.202, O ,"(A, 5)",19,17
32, 0.634, X ,"(B, 1)",23,14
33, 1.352, O ,"(C, 5)",17,21
34, 0.832, X ,"(B, 5)",19,20
35, 1.019, O ,"(A, 6)",16,24
36, 0.638, X ,"(H, 7)",19,22
37, 0.937, O ,"(E, 7)",16,26
38, 0.795, X ,"(C, 7)",20,23
39, 0.985, O ,"(D, 7)",18,26
40, 1.359, X ,"(F, 7)",23,22
41, 1.255, O ,"(D, 8)",20,26
42, 1.000, X ,"(B, 6)",25,22
43, 0.808, O ,"(F, 8)",21,27
44, 0.735, X ,"(E, 8)",25,24
45, 0.535, O ,"(A, 7)",24,26
46, 0.476, X ,"(B, 2)",27,24
47, 0.433, O ,"(A, 1)",23,29
48, 0.145, X ,"(A, 2)",28,25
49, 0.409, O ,"(B, 8)",26,28
50, 0.073, X ,"(G, 2)",31,24
51, 0.110, O ,"(C, 8)",29,27
52, 0.042, X ,"(B, 7)",35,22
53, 0.035, O ,"(G, 8)",34,24
54, 0.016, X ,"(A, 8)",43,16
55, 0.011, O ,"(G, 7)",42,18
56, 0.007, X ,"(H, 8)",50,11
57, 0.001, O ,"(H, 2)",49,13
58, 0.000, X ,"(H, 1)",51,12
59, 0.000, O ,"(G, 1)",44,20
