,Time,Color,Move,Black,White
0, 0.084, X ,"(E, 3)",4,1
1, 0.171, O ,"(F, 5)",3,3
2, 0.221, X ,"(C, 6)",5,2
3, 0.185, O ,"(E, 2)",3,5
4, 0.211, X ,"(F, 2)",5,4
5, 0.348, O ,"(C, 3)",4,6
6, 0.519, X ,"(D, 2)",6,5
7, 0.250, O ,"(E, 1)",3,9
8, 0.437, X ,"(D, 3)",5,8
9, 0.585, O ,"(D, 6)",2,12
10, 0.782, X ,"(E, 6)",4,11
11, 0.520, O ,"(G, 3)",3,13
12, 0.569, X ,"(C, 4)",5,12
13, 0.612, O ,"(B, 4)",4,14
14, 0.732, X ,"(B, 3)",6,13
15, 0.886, O ,"(B, 5)",5,15
16, 1.590, X ,"(A, 4)",7,14
17, 1.060, O ,"(A, 3)",6,16
18, 0.966, X ,"(F, 3)",8,15
19, 0.979, O ,"(A, 6)",7,17
20, 1.242, X ,"(H, 3)",9,16
21, 0.875, O ,"(A, 5)",8,18
22, 0.926, X ,"(C, 2)",10,17
23, 1.328, O ,"(C, 1)",9,19
24, 0.789, X ,"(F, 4)",11,18
25, 0.958, O ,"(G, 4)",8,22
26, 1.295, X ,"(G, 6)",11,20
27, 1.177, O ,"(H, 4)",10,22
28, 0.707, X ,"(H, 5)",12,21
29, 0.632, O ,"(E, 7)",9,25
30, 1.169, X ,"(F, 6)",11,24
31, 0.890, O ,"(C, 7)",10,26
32, 1.156, X ,"(D, 7)",12,25
33, 0.955, O ,"(E, 8)",10,28
34, 0.963, X ,"(B, 6)",12,27
35, 0.500, O ,"(H, 6)",6,34
36, 0.751, X ,"(F, 7)",10,31
37, 0.537, O ,"(C, 5)",9,33
38, 0.606, X ,"(D, 1)",14,29
39, 0.553, O ,"(F, 1)",12,32
40, 0.886, X ,"(G, 5)",15,30
41, 0.938, O ,"(F, 8)",10,36
42, 0.315, X ,"(H, 7)",12,35
43, 0.066, O ,"(G, 7)",9,39
44, 0.209, X ,"(D, 8)",18,31
45, 0.066, O ,"(C, 8)",15,35
46, 0.223, X ,"(H, 2)",19,32
47, 0.045, O ,"(G, 2)",18,34
48, 0.170, X ,"(H, 8)",20,33
49, 0.028, O ,"(G, 8)",19,35
50, 0.078, X ,"(H, 1)",23,32
51, 0.019, O ,"(G, 1)",22,34
52, 0.040, X ,"(B, 8)",29,28
53, 0.008, O ,"(B, 7)",28,30
54, 0.012, X ,"(A, 8)",31,28
55, 0.003, O ,"(A, 7)",30,30
56, 0.004, X ,"(A, 2)",38,23
57, 0.000, O ,"(B, 2)",37,25
58, 0.000, X ,"(A, 1)",40,23
59, 0.000, O ,"(B, 1)",39,25
