,Time,Color,Move,Black,White
0, 0.382, X ,"(E, 3)",4,1
1, 0.465, O ,"(D, 3)",3,3
2, 0.598, X ,"(C, 4)",5,2
3, 1.267, O ,"(B, 3)",4,4
4, 1.554, X ,"(B, 4)",6,3
5, 1.979, O ,"(F, 5)",4,6
6, 3.225, X ,"(D, 2)",6,5
7, 2.144, O ,"(D, 1)",3,9
8, 1.895, X ,"(C, 1)",5,8
9, 3.284, O ,"(A, 4)",3,11
10, 1.182, X ,"(C, 3)",5,10
11, 1.831, O ,"(F, 3)",2,14
12, 1.178, X ,"(F, 4)",4,13
13, 1.897, O ,"(E, 2)",3,15
14, 2.312, X ,"(E, 1)",5,14
15, 1.773, O ,"(G, 3)",4,16
16, 1.556, X ,"(F, 2)",6,15
17, 1.337, O ,"(F, 1)",4,18
18, 4.558, X ,"(G, 4)",7,16
19, 3.334, O ,"(H, 3)",6,18
20, 7.779, X ,"(H, 4)",9,16
21, 2.892, O ,"(H, 5)",8,18
22, 6.247, X ,"(A, 3)",13,14
23, 2.325, O ,"(C, 2)",10,18
24, 5.754, X ,"(G, 5)",13,16
25, 2.223, O ,"(B, 1)",10,20
26, 5.867, X ,"(C, 6)",13,18
27, 7.144, O ,"(H, 6)",9,23
28, 4.352, X ,"(D, 6)",12,21
29, 3.010, O ,"(C, 5)",10,24
30, 3.806, X ,"(A, 5)",12,23
31, 3.031, O ,"(E, 7)",11,25
32, 3.756, X ,"(B, 6)",15,22
33, 2.867, O ,"(C, 7)",13,25
34, 4.968, X ,"(B, 5)",16,23
35, 3.485, O ,"(A, 6)",11,29
36, 5.610, X ,"(G, 6)",14,27
37, 4.092, O ,"(F, 6)",8,34
38, 3.469, X ,"(E, 6)",11,32
39, 2.489, O ,"(F, 7)",10,34
40, 3.412, X ,"(D, 7)",16,29
41, 2.911, O ,"(A, 2)",13,33
42, 3.838, X ,"(C, 8)",15,32
43, 3.042, O ,"(D, 8)",10,38
44, 2.304, X ,"(E, 8)",14,35
45, 1.457, O ,"(F, 8)",13,37
46, 1.168, X ,"(G, 8)",16,35
47, 0.609, O ,"(B, 7)",15,37
48, 0.535, X ,"(A, 8)",19,34
49, 0.539, O ,"(B, 8)",18,36
50, 0.210, X ,"(A, 7)",24,31
51, 0.135, O ,"(H, 2)",23,33
52, 0.093, X ,"(A, 1)",29,28
53, 0.033, O ,"(H, 8)",24,34
54, 0.019, X ,"(G, 7)",28,31
55, 0.002, O ,"(H, 7)",23,37
56, 0.001, X ,"(G, 2)",27,34
57, 0.001, O ,"(G, 1)",23,39
58, 0.000, X ,"(B, 2)",27,36
59, 0.000, X ,"(H, 1)",35,29
