,Time,Color,Move,Black,White
0, 0.525, X ,"(E, 3)",4,1
1, 0.470, O ,"(F, 5)",3,3
2, 0.496, X ,"(C, 6)",5,2
3, 0.834, O ,"(D, 3)",4,4
4, 1.587, X ,"(D, 2)",6,3
5, 1.447, O ,"(C, 2)",5,5
6, 3.381, X ,"(G, 5)",8,3
7, 2.808, O ,"(D, 1)",7,5
8, 1.166, X ,"(C, 1)",9,4
9, 3.459, O ,"(F, 3)",8,6
10, 2.904, X ,"(E, 1)",10,5
11, 2.894, O ,"(C, 4)",9,7
12, 3.781, X ,"(B, 3)",12,5
13, 3.568, O ,"(E, 6)",11,7
14, 4.753, X ,"(E, 2)",13,6
15, 8.257, O ,"(G, 4)",12,8
16, 5.986, X ,"(H, 5)",15,6
17, 3.445, O ,"(C, 3)",14,8
18, 4.103, X ,"(F, 4)",18,5
19, 6.079, O ,"(F, 1)",17,7
20, 8.038, X ,"(F, 2)",19,6
21, 6.823, O ,"(H, 3)",18,8
22, 7.363, X ,"(G, 3)",20,7
23, 6.023, O ,"(B, 5)",19,9
24, 10.645, X ,"(A, 6)",23,6
25, 4.929, O ,"(A, 3)",22,8
26, 4.641, X ,"(B, 4)",24,7
27, 5.844, O ,"(C, 5)",22,10
28, 5.643, X ,"(A, 5)",24,9
29, 6.315, O ,"(B, 6)",22,12
30, 3.997, X ,"(A, 4)",26,9
31, 5.040, O ,"(D, 6)",25,11
32, 4.646, X ,"(F, 7)",28,9
33, 4.903, O ,"(F, 6)",27,11
34, 3.561, X ,"(C, 7)",33,6
35, 2.742, O ,"(H, 4)",32,8
36, 3.048, X ,"(H, 6)",34,7
37, 4.234, O ,"(E, 7)",31,11
38, 4.423, X ,"(G, 6)",36,7
39, 3.168, O ,"(D, 7)",33,11
40, 3.551, X ,"(F, 8)",35,10
41, 5.047, O ,"(E, 8)",34,12
42, 0.433, X ,"(G, 1)",36,11
43, 1.047, O ,"(C, 8)",34,14
44, 0.693, X ,"(H, 2)",37,12
45, 0.825, O ,"(A, 7)",33,17
46, 0.538, X ,"(D, 8)",37,14
47, 0.476, O ,"(G, 8)",33,19
48, 0.379, X ,"(B, 7)",37,16
49, 0.124, O ,"(A, 2)",34,20
50, 0.052, X ,"(G, 7)",36,19
51, 0.043, O ,"(A, 8)",34,22
52, 0.024, X ,"(B, 8)",36,21
53, 0.020, O ,"(H, 7)",29,29
54, 0.010, X ,"(H, 8)",37,22
55, 0.003, O ,"(B, 1)",34,26
56, 0.001, X ,"(A, 1)",36,25
57, 0.001, O ,"(G, 2)",31,31
58, 0.001, X ,"(B, 2)",39,24
59, 0.001, O ,"(H, 1)",38,26
