,Time,Color,Move,Black,White
0, 0.013, X ,"(E, 3)",4,1
1, 0.015, O ,"(D, 3)",3,3
2, 0.022, X ,"(C, 2)",5,2
3, 0.024, O ,"(D, 2)",4,4
4, 0.034, X ,"(C, 1)",6,3
5, 0.034, O ,"(D, 1)",5,5
6, 0.037, X ,"(E, 1)",7,4
7, 0.043, O ,"(F, 2)",6,6
8, 0.051, X ,"(C, 4)",8,5
9, 0.064, O ,"(B, 3)",7,7
10, 0.085, X ,"(C, 3)",9,6
11, 0.057, O ,"(F, 3)",8,8
12, 0.078, X ,"(A, 3)",10,7
13, 0.035, O ,"(C, 5)",9,9
14, 0.060, X ,"(F, 4)",11,8
15, 0.070, O ,"(E, 6)",10,10
16, 0.082, X ,"(F, 5)",13,8
17, 0.091, O ,"(G, 5)",12,10
18, 0.139, X ,"(G, 3)",15,8
19, 0.071, O ,"(G, 4)",13,11
20, 0.062, X ,"(B, 5)",15,10
21, 0.064, O ,"(B, 4)",14,12
22, 0.067, X ,"(A, 5)",16,11
23, 0.065, O ,"(A, 4)",15,13
24, 0.077, X ,"(B, 6)",18,11
25, 0.085, O ,"(D, 6)",17,13
26, 0.092, X ,"(H, 4)",21,10
27, 0.086, O ,"(H, 3)",20,12
28, 0.096, X ,"(H, 6)",22,11
29, 0.086, O ,"(G, 6)",21,13
30, 0.099, X ,"(C, 6)",25,10
31, 0.062, O ,"(H, 5)",24,12
32, 0.056, X ,"(C, 7)",27,10
33, 0.057, O ,"(D, 7)",25,13
34, 0.066, X ,"(A, 6)",27,12
35, 0.062, O ,"(E, 7)",25,15
36, 0.063, X ,"(D, 8)",28,13
37, 0.079, O ,"(E, 8)",27,15
38, 0.051, X ,"(F, 7)",31,12
39, 0.053, O ,"(F, 6)",29,15
40, 0.050, X ,"(F, 8)",31,14
41, 0.048, O ,"(C, 8)",29,17
42, 0.016, X ,"(H, 2)",33,14
43, 0.047, O ,"(B, 2)",29,19
44, 0.040, X ,"(B, 8)",34,15
45, 0.027, O ,"(E, 2)",28,22
46, 0.384, X ,"(H, 7)",32,19
47, 0.026, O ,"(F, 1)",31,21
48, 0.114, X ,"(G, 1)",37,16
49, 0.014, O ,"(A, 2)",36,18
50, 0.102, X ,"(B, 7)",38,17
51, 0.012, O ,"(A, 8)",34,22
52, 0.030, X ,"(A, 7)",36,21
53, 0.007, O ,"(G, 8)",30,28
54, 0.013, X ,"(A, 1)",36,23
55, 0.002, O ,"(B, 1)",35,25
56, 0.003, X ,"(G, 2)",40,21
57, 0.002, O ,"(H, 1)",29,33
58, 0.001, X ,"(G, 7)",33,30
59, 0.000, O ,"(H, 8)",22,42
