,Round,Time,Increasing,Player,Score,Depth
0,0,0.0,,Second,0,1
1,1,0.001,True,Second,3,1
2,2,0.002,False,Second,0,1
3,3,0.001,True,Second,3,1
4,4,0.002,False,Second,0,1
5,5,0.001,True,Second,3,1
6,6,0.002,False,Second,0,1
7,7,0.002,True,Second,3,1
8,8,0.002,False,Second,0,1
9,9,0.002,True,Second,3,1
10,10,0.002,False,Second,0,1
11,11,0.002,True,Second,5,1
12,12,0.003,False,Second,2,1
13,13,0.002,True,Second,5,1
14,14,0.002,False,Second,2,1
15,15,0.002,True,Second,5,1
16,16,0.002,False,Second,2,1
17,17,0.002,True,Second,5,1
18,18,0.002,False,Second,2,1
19,19,0.001,True,Second,5,1
20,20,0.002,False,Second,2,1
21,21,0.002,True,Second,5,1
22,22,0.003,False,Second,2,1
23,23,0.002,True,Second,5,1
24,24,0.002,False,Second,2,1
25,25,0.002,True,Second,7,1
26,26,0.002,False,Second,4,1
27,27,0.002,True,Second,7,1
28,28,0.002,False,Second,2,1
29,29,0.002,True,Second,5,1
30,30,0.002,False,Second,-2,1
31,31,0.001,True,Second,3,1
32,32,0.002,False,Second,0,1
33,33,0.001,True,Second,5,1
34,34,0.002,False,Second,0,1
35,35,0.002,True,Second,3,1
36,36,0.002,False,Second,0,1
37,37,0.002,True,Second,3,1
38,38,0.002,False,Second,0,1
39,39,0.001,True,Second,9,1
40,40,0.003,False,Second,6,1
41,41,0.002,True,Second,9,1
42,42,0.002,False,Second,0,1
43,43,0.001,True,Second,5,1
44,44,0.002,False,Second,-8,1
45,45,0.002,True,Second,-5,1
46,46,0.001,False,Second,-12,1
47,47,0.042,True,Second,-1,1
48,48,0.001,False,Second,-4,1
49,49,0.017,True,Second,5,1
50,50,0.001,False,Second,-6,1
51,51,0.012,True,Second,7,1
52,52,0.001,False,Second,-4,1
53,53,0.009,True,Second,3,1
54,54,0.003,False,Second,-6,1
55,55,0.007,True,Second,5,1
56,56,0.001,False,Second,2,1
57,57,0.003,True,Second,5,1
58,58,0.0,False,Second,2,1
59,59,0.0,True,Second,7,1
60,60,0.0,False,Second,2,1
61,0,0.0,,First,0,1
62,1,0.002,False,First,-3,1
63,2,0.002,True,First,0,1
64,3,0.001,False,First,-3,1
65,4,0.001,True,First,0,1
