,Round,Time,Color,Move,Black,White,Depth,Score,Pruning,Log_Time
0,1,0.003, X ,"(E, 3)",4,1,1,3,False,0.001300933020418072
1,3,0.003, X ,"(C, 6)",5,2,1,3,False,0.001300933020418072
2,5,0.004, X ,"(F, 2)",5,4,1,1,False,0.0017337128090005314
3,7,0.003, X ,"(E, 1)",6,5,1,1,False,0.001300933020418072
4,9,0.004, X ,"(C, 5)",7,6,1,1,False,0.0017337128090005314
5,11,0.007, X ,"(A, 4)",8,7,1,1,False,0.003029470553617962
6,13,0.005, X ,"(B, 3)",10,7,1,3,False,0.0021660617565076304
7,15,0.003, X ,"(E, 6)",12,7,1,5,False,0.001300933020418072
8,17,0.009, X ,"(C, 4)",13,8,1,5,False,0.0038911662369104775
9,19,0.003, X ,"(G, 5)",14,9,1,5,False,0.001300933020418072
10,21,0.001, X ,"(D, 1)",14,11,1,3,False,0.0004340774793185929
11,23,0.008, X ,"(F, 3)",13,14,1,-1,False,0.003460532109506489
12,25,0.003, X ,"(F, 1)",14,15,1,-1,False,0.001300933020418072
13,27,0.006, X ,"(H, 1)",13,18,1,-5,False,0.0025979807199085947
14,29,0.002, X ,"(H, 4)",13,20,1,-7,False,0.0008677215312269133
15,31,0.005, X ,"(D, 2)",15,20,1,-5,False,0.0021660617565076304
16,33,0.003, X ,"(G, 4)",16,21,1,-5,False,0.001300933020418072
17,35,0.006, X ,"(G, 2)",16,23,1,-7,False,0.0025979807199085947
18,37,0.006, X ,"(H, 3)",17,24,1,-7,False,0.0025979807199085947
19,38,0.006, X ,"(A, 5)",20,22,1,-2,False,0.0025979807199085947
20,40,0.002, X ,"(A, 3)",23,21,1,2,False,0.0008677215312269133
21,42,0.002, X ,"(A, 1)",22,24,1,-2,False,0.0008677215312269133
22,44,0.002, X ,"(H, 6)",23,25,1,-2,False,0.0008677215312269133
23,45,0.002, X ,"(E, 8)",26,23,1,3,False,0.0008677215312269133
24,47,0.003, X ,"(C, 7)",31,20,1,11,False,0.001300933020418072
25,49,0.006, X ,"(F, 6)",33,20,1,13,False,0.0025979807199085947
26,51,0.002, X ,"(D, 7)",34,21,1,13,False,0.0008677215312269133
27,53,0.001, X ,"(C, 8)",35,22,1,13,False,0.0004340774793185929
28,55,0.001, X ,"(H, 8)",42,17,1,25,False,0.0004340774793185929
29,57,0.001, X ,"(A, 8)",43,18,1,25,False,0.0004340774793185929
30,59,0.001, X ,"(A, 7)",46,17,1,29,False,0.0004340774793185929
31,1,0.011, X ,"(E, 3)",4,1,1,3,False,0.00475115559100102
32,3,0.001, X ,"(C, 6)",5,2,1,3,False,0.0004340774793185929
33,5,0.005, X ,"(F, 2)",5,4,1,1,False,0.0021660617565076304
34,7,0.014, X ,"(E, 1)",6,5,1,1,False,0.006037954997317177
35,9,0.006, X ,"(D, 3)",7,6,1,1,False,0.0025979807199085947
36,11,0.003, X ,"(B, 3)",7,8,1,-1,False,0.001300933020418072
37,13,0.005, X ,"(G, 3)",7,10,1,-3,False,0.0021660617565076304
38,15,0.004, X ,"(C, 4)",7,12,1,-5,False,0.0017337128090005314
39,17,0.007, X ,"(C, 2)",8,13,1,-5,False,0.003029470553617962
40,19,0.006, X ,"(A, 1)",8,15,1,-7,False,0.0025979807199085947
41,21,0.005, X ,"(C, 1)",8,17,1,-9,False,0.0021660617565076304
42,23,0.006, X ,"(D, 1)",8,19,1,-11,False,0.0025979807199085947
43,25,0.011, X ,"(A, 3)",8,21,1,-13,False,0.00475115559100102
44,26,0.011, X ,"(A, 4)",11,19,1,-8,False,0.00475115559100102
45,27,0.004, X ,"(B, 4)",14,17,1,-3,False,0.0017337128090005314
46,28,0.004, X ,"(G, 4)",17,15,1,2,False,0.0017337128090005314
47,30,0.009, X ,"(H, 1)",18,16,1,2,False,0.0038911662369104775
48,32,0.004, X ,"(A, 8)",22,14,1,8,False,0.0017337128090005314
49,34,0.004, X ,"(G, 1)",23,15,1,8,False,0.0017337128090005314
50,36,0.007, X ,"(B, 5)",25,15,1,10,False,0.003029470553617962
51,38,0.002, X ,"(A, 6)",27,15,1,12,False,0.0008677215312269133
52,40,0.008, X ,"(G, 6)",29,15,1,14,False,0.003460532109506489
53,42,0.003, X ,"(F, 6)",31,15,1,16,False,0.001300933020418072
54,44,0.004, X ,"(B, 6)",32,16,1,16,False,0.0017337128090005314
55,46,0.004, X ,"(H, 4)",36,14,1,22,False,0.0017337128090005314
56,48,0.004, X ,"(F, 8)",39,13,1,26,False,0.0017337128090005314
57,50,0.006, X ,"(D, 6)",42,12,1,30,False,0.0025979807199085947
58,52,0.0, X ,"(H, 6)",44,12,1,32,False,0.0
59,54,0.003, X ,"(H, 8)",45,13,1,32,False,0.001300933020418072
60,56,0.001, X ,"(D, 8)",49,11,1,38,False,0.0004340774793185929
61,58,0.002, X ,"(C, 8)",52,10,1,42,False,0.0008677215312269133
62,60,0.001, X ,"(H, 7)",53,11,1,42,False,0.0004340774793185929
63,1,0.003, X ,"(E, 3)",4,1,1,3,False,0.001300933020418072
64,3,0.002, X ,"(C, 2)",5,2,1,3,False,0.0008677215312269133
65,5,0.001, X ,"(C, 1)",6,3,1,3,False,0.0004340774793185929
66,7,0.007, X ,"(C, 3)",6,5,1,1,False,0.003029470553617962
67,9,0.003, X ,"(B, 3)",7,6,1,1,False,0.001300933020418072
68,11,0.002, X ,"(A, 1)",8,7,1,1,False,0.0008677215312269133
69,13,0.007, X ,"(D, 1)",9,8,1,1,False,0.003029470553617962
70,15,0.003, X ,"(A, 4)",9,10,1,-1,False,0.001300933020418072
71,17,0.002, X ,"(F, 1)",10,11,1,-1,False,0.0008677215312269133
72,19,0.002, X ,"(E, 2)",11,12,1,-1,False,0.0008677215312269133
73,21,0.005, X ,"(G, 3)",9,16,1,-7,False,0.0021660617565076304
74,23,0.002, X ,"(F, 3)",10,17,1,-7,False,0.0008677215312269133
75,25,0.004, X ,"(G, 4)",10,19,1,-9,False,0.0017337128090005314
76,27,0.002, X ,"(H, 1)",11,20,1,-9,False,0.0008677215312269133
77,29,0.002, X ,"(G, 2)",13,20,1,-7,False,0.0008677215312269133
78,31,0.004, X ,"(B, 5)",13,22,1,-9,False,0.0017337128090005314
79,33,0.002, X ,"(C, 5)",16,21,1,-5,False,0.0008677215312269133
80,35,0.007, X ,"(B, 6)",16,23,1,-7,False,0.003029470553617962
81,37,0.003, X ,"(E, 7)",17,24,1,-7,False,0.001300933020418072
82,39,0.003, X ,"(E, 6)",19,24,1,-5,False,0.001300933020418072
83,41,0.003, X ,"(C, 6)",18,27,1,-9,False,0.001300933020418072
84,43,0.006, X ,"(C, 8)",19,28,1,-9,False,0.0025979807199085947
85,45,0.004, X ,"(H, 6)",21,28,1,-7,False,0.0017337128090005314
86,47,0.002, X ,"(A, 8)",25,26,1,-1,False,0.0008677215312269133
87,49,0.001, X ,"(A, 6)",32,21,1,11,False,0.0004340774793185929
88,51,0.002, X ,"(H, 5)",39,16,1,23,False,0.0008677215312269133
89,53,0.001, X ,"(C, 4)",43,14,1,29,False,0.0004340774793185929
90,55,0.001, X ,"(F, 7)",49,10,1,39,False,0.0004340774793185929
91,57,0.0, X ,"(G, 8)",54,7,1,47,False,0.0
92,59,0.001, X ,"(H, 8)",54,9,1,45,False,0.0004340774793185929
93,1,0.002, X ,"(E, 3)",4,1,1,3,False,0.0008677215312269133
94,3,0.003, X ,"(C, 2)",5,2,1,3,False,0.001300933020418072
95,5,0.002, X ,"(C, 3)",6,3,1,3,False,0.0008677215312269133
96,7,0.002, X ,"(G, 5)",7,4,1,3,False,0.0008677215312269133
97,9,0.003, X ,"(D, 6)",8,5,1,3,False,0.001300933020418072
