,Time,Color,Move,Black,White
0, 0.013, X ,"(E, 3)",4,1
1, 0.014, O ,"(D, 3)",3,3
2, 0.021, X ,"(C, 2)",5,2
3, 0.024, O ,"(D, 2)",4,4
4, 0.022, X ,"(C, 1)",6,3
5, 0.035, O ,"(D, 1)",5,5
6, 0.025, X ,"(E, 1)",7,4
7, 0.043, O ,"(F, 2)",6,6
8, 0.043, X ,"(C, 4)",8,5
9, 0.075, O ,"(B, 3)",7,7
10, 0.041, X ,"(C, 3)",9,6
11, 0.045, O ,"(F, 3)",8,8
12, 0.035, X ,"(A, 3)",10,7
13, 0.037, O ,"(C, 5)",9,9
14, 0.034, X ,"(F, 4)",11,8
15, 0.070, O ,"(E, 6)",10,10
16, 0.042, X ,"(G, 1)",12,9
17, 0.041, O ,"(F, 1)",11,11
18, 0.049, X ,"(F, 5)",14,9
19, 0.048, O ,"(H, 1)",13,11
20, 0.045, X ,"(G, 2)",15,10
21, 0.066, O ,"(H, 2)",14,12
22, 0.032, X ,"(G, 3)",16,11
23, 0.056, O ,"(E, 2)",12,16
24, 0.049, X ,"(F, 6)",15,14
25, 0.041, O ,"(H, 3)",13,17
26, 0.040, X ,"(B, 4)",15,16
27, 0.063, O ,"(B, 5)",14,18
28, 0.046, X ,"(G, 4)",17,16
29, 0.053, O ,"(A, 4)",16,18
30, 0.044, X ,"(D, 7)",18,17
31, 0.051, O ,"(D, 6)",16,20
32, 0.034, X ,"(G, 5)",19,18
33, 0.067, O ,"(E, 7)",18,20
34, 0.053, X ,"(C, 7)",21,18
35, 0.074, O ,"(C, 6)",20,20
36, 0.044, X ,"(D, 8)",22,19
37, 0.059, O ,"(C, 8)",20,22
38, 0.025, X ,"(H, 4)",23,20
39, 0.048, O ,"(F, 8)",22,22
40, 0.033, X ,"(E, 8)",25,20
41, 0.037, O ,"(F, 7)",18,28
42, 0.027, X ,"(G, 7)",20,27
43, 0.039, O ,"(G, 6)",16,32
44, 0.040, X ,"(A, 6)",20,29
45, 0.042, O ,"(H, 5)",19,31
46, 0.023, X ,"(H, 6)",22,29
47, 0.027, O ,"(H, 8)",21,31
48, 0.012, X ,"(A, 5)",24,29
49, 0.011, O ,"(H, 7)",23,31
50, 0.008, X ,"(G, 8)",30,25
51, 0.004, O ,"(B, 1)",25,31
52, 0.009, X ,"(B, 2)",27,30
53, 0.003, O ,"(A, 1)",23,35
54, 0.006, X ,"(B, 6)",29,30
55, 0.005, O ,"(B, 7)",22,38
56, 0.002, X ,"(A, 2)",25,36
57, 0.001, O ,"(A, 7)",20,42
58, 0.002, X ,"(B, 8)",27,36
59, 0.000, O ,"(A, 8)",20,44
