,Time,Color,Move,Black,White
0, 0.036, X ,"(E, 3)",4,1
1, 0.041, O ,"(D, 3)",3,3
2, 0.075, X ,"(C, 4)",5,2
3, 0.063, O ,"(B, 3)",4,4
4, 0.100, X ,"(B, 4)",6,3
5, 0.057, O ,"(F, 3)",4,6
6, 0.260, X ,"(C, 5)",6,5
7, 0.110, O ,"(A, 4)",3,9
8, 0.152, X ,"(D, 2)",6,7
9, 0.178, O ,"(C, 1)",5,9
10, 0.169, X ,"(D, 1)",7,8
11, 0.088, O ,"(E, 1)",6,10
12, 0.154, X ,"(E, 2)",9,8
13, 0.095, O ,"(F, 1)",7,11
14, 0.115, X ,"(C, 2)",9,10
15, 0.072, O ,"(B, 2)",7,13
16, 0.220, X ,"(C, 3)",9,12
17, 0.112, O ,"(B, 5)",7,15
18, 0.086, X ,"(A, 1)",9,14
19, 0.079, O ,"(B, 1)",8,16
20, 0.103, X ,"(A, 2)",11,14
21, 0.162, O ,"(A, 3)",9,17
22, 0.136, X ,"(G, 3)",11,16
23, 0.206, O ,"(F, 4)",7,21
24, 0.166, X ,"(F, 5)",9,20
25, 0.202, O ,"(B, 6)",8,22
26, 0.153, X ,"(A, 5)",13,18
27, 0.281, O ,"(G, 2)",12,20
28, 0.110, X ,"(H, 1)",16,17
29, 0.229, O ,"(G, 5)",15,19
30, 0.123, X ,"(G, 4)",17,18
31, 0.250, O ,"(A, 6)",16,20
32, 0.225, X ,"(C, 6)",18,19
33, 0.239, O ,"(F, 6)",17,21
34, 0.254, X ,"(D, 6)",19,20
35, 0.352, O ,"(D, 7)",17,23
36, 0.417, X ,"(H, 5)",19,22
37, 0.294, O ,"(E, 6)",17,25
38, 0.243, X ,"(E, 7)",20,23
39, 0.307, O ,"(B, 7)",19,25
40, 0.299, X ,"(A, 8)",24,21
41, 0.362, O ,"(F, 7)",23,23
42, 0.154, X ,"(C, 7)",25,22
43, 0.156, O ,"(H, 2)",23,25
44, 0.081, X ,"(H, 3)",26,23
45, 0.110, O ,"(B, 8)",21,29
46, 0.063, X ,"(G, 1)",27,24
47, 0.018, O ,"(F, 2)",26,26
48, 0.027, X ,"(A, 7)",29,24
49, 0.035, O ,"(H, 6)",28,26
50, 0.030, X ,"(H, 4)",30,25
51, 0.022, O ,"(G, 7)",29,27
52, 0.029, X ,"(H, 8)",36,21
53, 0.015, O ,"(H, 7)",35,23
54, 0.017, X ,"(C, 8)",41,18
55, 0.008, O ,"(G, 6)",37,23
56, 0.006, X ,"(G, 8)",42,19
57, 0.001, O ,"(D, 8)",41,21
58, 0.001, X ,"(E, 8)",45,18
59, 0.000, O ,"(F, 8)",42,22
