,Time,Color,Move,Black,White
0, 0.001, X ,"(C, 5)",4,1
1, 0.006, O ,"(C, 4)",3,3
2, 0.000, X ,"(B, 3)",5,2
3, 0.019, O ,"(B, 4)",4,4
4, 0.000, X ,"(C, 3)",7,2
5, 0.010, O ,"(D, 2)",6,4
6, 0.000, X ,"(E, 3)",8,3
7, 0.013, O ,"(A, 3)",7,5
8, 0.000, X ,"(C, 2)",9,4
9, 0.023, O ,"(D, 1)",8,6
10, 0.001, X ,"(A, 5)",10,5
11, 0.012, O ,"(D, 3)",9,7
12, 0.001, X ,"(A, 2)",11,6
13, 0.022, O ,"(A, 1)",10,8
14, 0.001, X ,"(E, 1)",13,6
15, 0.031, O ,"(E, 2)",12,8
16, 0.000, X ,"(F, 1)",15,6
17, 0.026, O ,"(F, 2)",14,8
18, 0.001, X ,"(G, 3)",16,7
19, 0.016, O ,"(A, 4)",15,9
20, 0.001, X ,"(B, 1)",17,8
21, 0.029, O ,"(B, 2)",16,10
22, 0.001, X ,"(C, 1)",20,7
23, 0.017, O ,"(A, 6)",19,9
24, 0.000, X ,"(F, 3)",21,8
25, 0.022, O ,"(B, 5)",20,10
26, 0.000, X ,"(B, 6)",25,6
27, 0.017, O ,"(C, 7)",24,8
28, 0.001, X ,"(B, 7)",26,7
29, 0.021, O ,"(C, 6)",24,10
30, 0.000, X ,"(C, 8)",27,8
31, 0.012, O ,"(D, 7)",26,10
32, 0.001, X ,"(E, 7)",28,9
33, 0.014, O ,"(A, 8)",27,11
34, 0.000, X ,"(A, 7)",30,9
35, 0.010, O ,"(D, 6)",28,12
36, 0.001, X ,"(E, 6)",31,10
37, 0.010, O ,"(F, 5)",29,13
38, 0.000, X ,"(F, 4)",31,12
39, 0.019, O ,"(F, 7)",30,14
40, 0.000, X ,"(F, 6)",33,12
41, 0.011, O ,"(G, 5)",31,15
42, 0.000, X ,"(G, 6)",33,14
43, 0.017, O ,"(H, 5)",32,16
44, 0.000, X ,"(G, 7)",34,15
45, 0.011, O ,"(H, 8)",32,18
46, 0.000, X ,"(H, 4)",35,16
47, 0.017, O ,"(H, 3)",28,24
48, 0.000, X ,"(H, 6)",30,23
49, 0.012, O ,"(G, 4)",24,30
50, 0.001, X ,"(H, 2)",31,24
51, 0.010, O ,"(D, 8)",25,31
52, 0.000, X ,"(F, 8)",27,30
53, 0.007, O ,"(B, 8)",25,33
54, 0.000, X ,"(E, 8)",28,31
55, 0.003, O ,"(G, 8)",23,37
56, 0.000, X ,"(H, 7)",27,34
57, 0.001, O ,"(H, 1)",21,41
58, 0.000, X ,"(G, 2)",25,38
59, 0.000, O ,"(G, 1)",17,47
